,Country,CAT,DESC,Amount_text,Currency,Amount,Exchange,pound_equv
0,Qatar,Food,Basic lunchtime menu (including a drink) in the business district,32 ﷼‎,Rial,32,0.21741107,6.96
1,Qatar,Food,Combo meal in fast food restaurant (big mac meal or similar),25 ﷼‎,Rial,25,0.21741107,5.44
2,Qatar,Food,500 gr (1 lb.) of boneless chicken breast,21 ﷼‎,Rial,21,0.21741107,4.57
3,Qatar,Food,1 liter (1 qt.) of whole fat milk,7 ﷼‎,Rial,7,0.21741107,1.52
4,Qatar,Food,"12 eggs, large",12 ﷼‎,Rial,12,0.21741107,2.61
5,Qatar,Food,1 kg (2 lb.) of tomatoes,4.85 ﷼‎,Rial,4.85,0.21741107,1.05
6,Qatar,Food,500 gr (16 oz.) of local cheese,20 ﷼‎,Rial,20,0.21741107,4.35
7,Qatar,Food,1 kg (2 lb.) of apples,7 ﷼‎,Rial,7,0.21741107,1.52
8,Qatar,Food,1 kg (2 lb.) of potatoes,3.96 ﷼‎,Rial,3.96,0.21741107,0.86
9,Qatar,Food,0.5 l (16 oz) domestic beer in the supermarket,7 ﷼‎,Rial,7,0.21741107,1.52
10,Qatar,Food,"1 bottle of red table wine, good quality",92 ﷼‎,Rial,92,0.21741107,20.00
11,Qatar,Food,2 liters of coca-cola,7 ﷼‎,Rial,7,0.21741107,1.52
12,Qatar,Food,Bread for 2 people for 1 day,5.28 ﷼‎,Rial,5.28,0.21741107,1.15
14,Qatar,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,"12,174 ﷼‎",Rial,"12,174",0.21741107,2646.76
15,Qatar,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,"8,090 ﷼‎",Rial,"8,090",0.21741107,1758.86
16,Qatar,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat","1,063 ﷼‎",Rial,"1,063",0.21741107,231.11
17,Qatar,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,"6,647 ﷼‎",Rial,"6,647",0.21741107,1445.13
18,Qatar,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,"4,084 ﷼‎",Rial,"4,084",0.21741107,887.91
19,Qatar,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",368 ﷼‎,Rial,368,0.21741107,80.01
20,Qatar,Housing,Internet 8 mbps (1 month),323 ﷼‎,Rial,323,0.21741107,70.22
