,Country,CAT,DESC,Amount_text,Currency,Amount,Exchange,pound_equv
0,Saudi Arabia,Food,Basic lunchtime menu (including a drink) in the business district,﷼‎ 38,Riyal, 38,0.21103886,8.02
1,Saudi Arabia,Food,Combo meal in fast food restaurant (big mac meal or similar),﷼‎ 36,Riyal, 36,0.21103886,7.60
2,Saudi Arabia,Food,500 gr (1 lb.) of boneless chicken breast,﷼‎ 20,Riyal, 20,0.21103886,4.22
3,Saudi Arabia,Food,1 liter (1 qt.) of whole fat milk,﷼‎ 5.37,Riyal, 5.37,0.21103886,1.13
4,Saudi Arabia,Food,"12 eggs, large",﷼‎ 23,Riyal, 23,0.21103886,4.85
5,Saudi Arabia,Food,1 kg (2 lb.) of tomatoes,﷼‎ 7,Riyal, 7,0.21103886,1.48
6,Saudi Arabia,Food,500 gr (16 oz.) of local cheese,﷼‎ 24,Riyal, 24,0.21103886,5.06
7,Saudi Arabia,Food,1 kg (2 lb.) of apples,﷼‎ 7,Riyal, 7,0.21103886,1.48
8,Saudi Arabia,Food,1 kg (2 lb.) of potatoes,﷼‎ 4.78,Riyal, 4.78,0.21103886,1.01
9,Saudi Arabia,Food,0.5 l (16 oz) domestic beer in the supermarket,-,Riyal,,0.21103886,
10,Saudi Arabia,Food,"1 bottle of red table wine, good quality",-,Riyal,,0.21103886,
11,Saudi Arabia,Food,2 liters of coca-cola,﷼‎ 9,Riyal, 9,0.21103886,1.90
12,Saudi Arabia,Food,Bread for 2 people for 1 day,﷼‎ 2.54,Riyal, 2.54,0.21103886,0.54
14,Saudi Arabia,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,"﷼‎ 3,801",Riyal," 3,801",0.21103886,802.16
15,Saudi Arabia,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,"﷼‎ 2,587",Riyal," 2,587",0.21103886,545.96
16,Saudi Arabia,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat",﷼‎ 553,Riyal, 553,0.21103886,116.70
17,Saudi Arabia,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,"﷼‎ 5,144",Riyal," 5,144",0.21103886,1085.58
18,Saudi Arabia,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,"﷼‎ 1,772",Riyal," 1,772",0.21103886,373.96
19,Saudi Arabia,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",﷼‎ 278,Riyal, 278,0.21103886,58.67
