,Country,CAT,DESC,Amount_text,Currency,Amount,exchange,pound_equav
0,Bahrain,Food,Basic lunchtime menu (including a drink) in the business district,Dinar 8,Dinar, 8,2.1047664,16.84
1,Bahrain,Food,Combo meal in fast food restaurant (big mac meal or similar),Dinar 3.409,Dinar, 3.409,2.1047664,7.18
2,Bahrain,Food,500 gr (1 lb.) of boneless chicken breast,Dinar 0.979,Dinar, 0.979,2.1047664,2.06
3,Bahrain,Food,1 liter (1 qt.) of whole fat milk,Dinar 0.575,Dinar, 0.575,2.1047664,1.21
4,Bahrain,Food,"12 eggs, large",Dinar 1.599,Dinar, 1.599,2.1047664,3.37
5,Bahrain,Food,1 kg (2 lb.) of tomatoes,Dinar 0.394,Dinar, 0.394,2.1047664,0.83
6,Bahrain,Food,500 gr (16 oz.) of local cheese,Dinar 1.233,Dinar, 1.233,2.1047664,2.60
7,Bahrain,Food,1 kg (2 lb.) of apples,Dinar 0.774,Dinar, 0.774,2.1047664,1.63
8,Bahrain,Food,1 kg (2 lb.) of potatoes,Dinar 0.306,Dinar, 0.306,2.1047664,0.64
9,Bahrain,Food,0.5 l (16 oz) domestic beer in the supermarket,Dinar 0.773,Dinar, 0.773,2.1047664,1.63
10,Bahrain,Food,"1 bottle of red table wine, good quality",Dinar 6,Dinar, 6,2.1047664,12.63
11,Bahrain,Food,2 liters of coca-cola,Dinar 0.888,Dinar, 0.888,2.1047664,1.87
12,Bahrain,Food,Bread for 2 people for 1 day,Dinar 0.436,Dinar, 0.436,2.1047664,0.92
14,Bahrain,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,Dinar 514,Dinar, 514,2.1047664,1081.85
15,Bahrain,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,Dinar 339,Dinar, 339,2.1047664,713.52
16,Bahrain,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat",Dinar 83,Dinar, 83,2.1047664,174.70
17,Bahrain,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,Dinar 365,Dinar, 365,2.1047664,768.24
18,Bahrain,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,Dinar 284,Dinar, 284,2.1047664,597.75
19,Bahrain,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",Dinar 75,Dinar, 75,2.1047664,157.86
20,Bahrain,Housing,Internet 8 mbps (1 month),Dinar 15,Dinar, 15,2.1047664,31.57
21,Bahrain,Housing,40” flat screen tv,Dinar 95,Dinar, 95,2.1047664,199.95
22,Bahrain,Housing,"Microwave 800/900 watt (bosch, panasonic, lg, sharp, or equivalent brands)",Dinar 26,Dinar, 26,2.1047664,54.72
23,Bahrain,Housing,Laundry detergent (3 l. ~ 100 oz.),Dinar 3.000,Dinar, 3.000,2.1047664,6.31
