,Country,CAT,DESC,Amount_text,Currency,Amount,Exchange,pound_equev
0,OMAN,Food,Basic lunchtime menu (including a drink) in the business district,﷼‎ 7,Reyal,7,2.0555183,14.39
1,OMAN,Food,Combo meal in fast food restaurant (big mac meal or similar),﷼‎ 3.633,Reyal,3.633,2.0555183,7.47
2,OMAN,Food,500 gr (1 lb.) of boneless chicken breast,﷼‎ 2.000,Reyal,2,2.0555183,4.11
3,OMAN,Food,1 liter (1 qt.) of whole fat milk,﷼‎ 1.048,Reyal,1.048,2.0555183,2.15
4,OMAN,Food,"12 eggs, large",﷼‎ 1.000,Reyal,1,2.0555183,2.06
5,OMAN,Food,1 kg (2 lb.) of tomatoes,﷼‎ 1.532,Reyal,1.532,2.0555183,3.15
6,OMAN,Food,500 gr (16 oz.) of local cheese,﷼‎ 0.900,Reyal,0.9,2.0555183,1.85
7,OMAN,Food,1 kg (2 lb.) of apples,﷼‎ 1.336,Reyal,1.336,2.0555183,2.75
8,OMAN,Food,1 kg (2 lb.) of potatoes,﷼‎ 0.476,Reyal,0.476,2.0555183,0.98
9,OMAN,Food,0.5 l (16 oz) domestic beer in the supermarket,﷼‎ 1.878,Reyal,1.878,2.0555183,3.86
10,OMAN,Food,"1 bottle of red table wine, good quality",﷼‎ 5.731,Reyal,5.731,2.0555183,11.78
11,OMAN,Food,2 liters of coca-cola,﷼‎ 1.000,Reyal,1,2.0555183,2.06
12,OMAN,Food,Bread for 2 people for 1 day,﷼‎ 1.000,Reyal,1,2.0555183,2.06
14,OMAN,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,﷼‎ 574,Reyal,574,2.0555183,1179.87
15,OMAN,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,﷼‎ 394,Reyal,394,2.0555183,809.87
16,OMAN,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat",﷼‎ 72,Reyal,72,2.0555183,148.00
17,OMAN,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,﷼‎ 408,Reyal,408,2.0555183,838.65
18,OMAN,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,﷼‎ 168,Reyal,168,2.0555183,345.33
19,OMAN,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",﷼‎ 50,Reyal,50,2.0555183,102.78
20,OMAN,Housing,Internet 8 mbps (1 month),﷼‎ 21,Reyal,21,2.0555183,43.17
21,OMAN,Housing,40” flat screen tv,﷼‎ 92,Reyal,92,2.0555183,189.11
22,OMAN,Housing,"Microwave 800/900 watt (bosch, panasonic, lg, sharp, or equivalent brands)",﷼‎ 43,Reyal,43,2.0555183,88.39
23,OMAN,Housing,Laundry detergent (3 l. ~ 100 oz.),﷼‎ 3.948,Reyal,3.948,2.0555183,8.12
24,OMAN,Housing,Hourly rate for cleaning help,﷼‎ 14,Reyal,14,2.0555183,28.78
27,OMAN,Clothes,1 pair of jeans (levis 501 or similar),﷼‎ 15,Reyal,15,2.0555183,30.83
28,OMAN,Clothes,"1 summer dress in a high street store (zara, h&m or similar retailers)",﷼‎ 15,Reyal,15,2.0555183,30.83
29,OMAN,Clothes,"1 pair of sport shoes (nike, adidas, or equivalent brands)",﷼‎ 40,Reyal,40,2.0555183,82.22
30,OMAN,Clothes,1 pair of men’s leather business shoes,﷼‎ 15,Reyal,15,2.0555183,30.83
